2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0715F6AAM8 | Login: arthur.favero
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U06V9FQJE6B | Login: vanderlei.cardoso
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0747C7KEBA | Login: mauricio.junior
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0713FS1K1T | Login: vicente.sanchez
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0707BGS4KV | Login: caio.peixoto
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07PVRKT080 | Login: matheus.hen
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07P46B96A1 | Login: leandro.aguiar
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07PEQ77CT1 | Login: gustavo.filho
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07P0DC45K8 | Login: vinicius.mariano
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070YMA2MGQ | Login: elyas.tomaz
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U079ZVCF6MS | Login: fellipe.luz
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07AY6SEQ20 | Login: nayra.rocha
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U079UJ5NKFF | Login: kaike.oliveira
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07NSFH5CTH | Login: rafael.reis
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0709JZFWSE | Login: carlos.henrique
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07APEBTAQ3 | Login: jefferson.augusto
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07A8DQRZ8T | Login: ryan.cavalcanti
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070STHB857 | Login: thamires.barrozo
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070FP9R4QK | Login: leonardo.magalhaes
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U072L1F7WKS | Login: monier.matamba
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07NSFGFA31 | Login: adriel.souza
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07NSFJ30PR | Login: camila.charles
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07NSFHSXV5 | Login: eduardo.mendes
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0709V5KGUA | Login: ricardo.salles
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07P6UXSKDZ | Login: yhan.simoes
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0715278P7S | Login: maria.aparecida
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070C39T8J0 | Login: gabriel.nicolau
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07071NBYQ5 | Login: ermenejildo.queta
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070GFPUKA7 | Login: katia.oliveira
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070Y79KJSC | Login: leonardo.cruz
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0703CF1AGN | Login: luzinete.mota
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070CN4RHMK | Login: giselle.silva
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0706U5CN13 | Login: caique.silva
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U070D6FS9HT | Login: wesley.sousa
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0709TFJ8UA | Login: andrea.silva
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U0703C8UXPY | Login: guilherme.amorim
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07AM78KE73 | Login: renan.henrique
2025-02-03 11:38:02 - Notificação Enviada | ID Slack: U07A8DQV4P5 | Login: samuell.santos
